_id,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
33614,2.02E+11,Pizza Bari,955,Liberty Avenue,Pittsburgh,PA,15222,Polish Hill,211,Restaurant without Liquor,1,5/9/2022,5/9/2022,,36,,,1,1,-79.99611002,40.44369435,955 Liberty Avenue PA 15222
11601,2.00E+11,Alex's Corner Pizza Shop,4902,Cypress Street,Pittsburgh,PA,15224,Polish Hill,211,Restaurant without Liquor,1,3/10/2003,3/10/2003,,0,,,1,1,-79.94709269,40.4585703,4902 Cypress Street PA 15224
15796,2.01E+11,Spak Brothers Pizza & More,5107,Penn  Avenue,Pittsburgh,PA,15224,Polish Hill,211,Restaurant without Liquor,1,7/21/2008,7/21/2008,,0,,,1,1,-79.94253814,40.46509466,5107 Penn  Avenue PA 15224
20553,2.02E+11,Vocelli Pizza ,2011,Waverly Road,Pittsburgh,PA,15218,Regent Square,212,Chain Restaurant without Liquor,1,2/27/2018,2/27/2018,,0,,,1,1,-79.88629769,40.42190899,2011 Waverly Road PA 15218
22804,2.02E+11,Joe & Pie / Pizza Couriers,1621,Braddock  Avenue,Pittsburgh,PA,15218,Regent Square,212,Chain Restaurant without Liquor,1,8/22/2016,8/22/2016,,51,,,1,1,-79.88772323,40.42693395,1621 Braddock  Avenue PA 15218
8129,45677,Highland Park Zoo / Swahili Pizza and Ice Cream,1,Wild  Place,Pittsburgh,PA,15206,Shadyside,211,Restaurant without Liquor,1,6/1/1990,6/1/1990,,30,,,1,1,,,1 Wild  Place PA 15206
11938,2.01E+11,Giovanni's Pizza & Pasta,3047,West Liberty  Avenue,Pittsburgh,PA,15216,South Hills,201,Restaurant with Liquor,1,7/16/2007,7/16/2007,,50,,,1,1,-80.03775111,40.3921433,3047 West Liberty  Avenue PA 15216
20210,2.02E+11,Jet's Pizza #399,1810,Dormont Avenue,Pittsburgh,PA,15216,South Hills,212,Chain Restaurant without Liquor,1,1/29/2015,1/29/2015,,0,,,1,1,-80.04430936,40.3984806,1810 Dormont Avenue PA 15216
34432,2.02E+11,Mollyâ€™s Pizza,1525,Potomac Avenue,Pittsburgh,PA,15216,South Hills,211,Restaurant without Liquor,1,7/19/2022,7/19/2022,,8,,,1,1,-80.03591431,40.39696884,1525 Potomac Avenue PA 15216
36928,2.02E+11,Dormont Diner Pizza & Chicken,2885,West Liberty Avenue,Pittsburgh,PA,15216,South Hills,211,Restaurant without Liquor,1,2/9/2023,2/9/2023,,12,,,1,1,-80.03380114,40.39514017,2885 Liberty Avenue PA 15216
38653,2.02E+11,Badamo's Pizza,1509,Potomac Avenue,Pittsburgh,PA,15216,South Hills,212,Chain Restaurant without Liquor,1,6/29/2023,6/29/2023,,0,,,1,1,-80.0357004,40.39664538,1509 Potomac Avenue PA 15216
39464,2.02E+11,Vocelli Pizza,3060,West Liberty Avenue,Pittsburgh,PA,15216,South Hills,212,Chain Restaurant without Liquor,1,9/26/2023,9/26/2023,,0,,,1,1,-80.0383146,40.39202845,3060 West Liberty Avenue PA 15216
10264,56677,Antoon's Pizza Shop,247,Atwood St,Pittsburgh,PA,15213,South Oakland,211,Restaurant without Liquor,1,8/4/1997,8/4/1997,,0,,,1,1,-79.95616779,40.44014468,247 Atwood St PA 15213
20947,2.01E+11,Larry & Carol's Pizza,410,Semple Street,Pittsburgh,PA,15213,South Oakland,211,Restaurant without Liquor,1,9/17/2014,9/17/2014,,0,,,1,1,-79.95483513,40.43677735,410 Semple Street PA 15213
